Target age group,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci-fi,short,sport,thriller,war,western
14-25,70 %,73 %,64 %,85 %,70 %,74 %,100 %,70 %,81 %,62 %,71 %,68 %,67 %,72 %,68 %,69 %,80 %,100 %,79 %,72 %,58 %,100 %
26-35,21 %,20 %,23 %,8 %,20 %,18 %,0 %,22 %,15 %,33 %,29 %,25 %,33 %,16 %,28 %,22 %,20 %,0 %,7 %,23 %,25 %,0 %
36-49,5 %,5 %,9 %,0 %,6 %,4 %,0 %,4 %,4 %,0 %,0 %,5 %,0 %,7 %,3 %,6 %,0 %,0 %,7 %,2 %,0 %,0 %
50-65,3 %,2 %,5 %,8 %,3 %,3 %,0 %,3 %,0 %,4 %,0 %,2 %,0 %,5 %,1 %,4 %,0 %,0 %,0 %,2 %,17 %,0 %
65+,0 %,0 %,0 %,0 %,0 %,0 %,0 %,1 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,7 %,0 %,0 %,0 %
